#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Feb 21 16:16:49 EST 2018,7,7,Assignment2Suite,EmptyTest0+ SizeTest0+ , ,ContainsTest0- ContainsTest1- EfficiencyTest1- EmptyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest1- SizeTest2- , ,
1,Wed Feb 21 16:17:32 EST 2018,11,4,Assignment2Suite,EmptyTest0 EmptyTest1+ SizeTest0 , ,ContainsTest0 ContainsTest1 EfficiencyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
2,Wed Feb 21 18:56:04 EST 2018,0,-11,Assignment2Suite, , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0- EmptyTest1- FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0- SizeTest1 SizeTest2 , ,
3,Wed Feb 21 20:10:39 EST 2018,0,0,Assignment2Suite, , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , ,
4,Wed Feb 21 20:19:09 EST 2018,11,11,Assignment2Suite,EmptyTest0+ FindMinMaxTest0+ SizeTest0+ , ,ContainsTest0 ContainsTest1 EfficiencyTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
5,Wed Feb 21 20:22:32 EST 2018,26,15,Assignment2Suite,EfficiencyTest1+ EmptyTest0 FindMinMaxTest0 RemoveTest0+ RemoveTest7+ SizeTest0 SizeTest2+ , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 , ,
6,Wed Feb 21 20:26:42 EST 2018,26,0,Assignment2Suite,EfficiencyTest1 EmptyTest0 FindMinMaxTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest2 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 , ,
7,Wed Feb 21 20:27:02 EST 2018,26,0,FindMinMaxTestSuite,EfficiencyTest1 EmptyTest0 FindMinMaxTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest2 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest1 , ,
8,Wed Feb 21 21:56:24 EST 2018,26,0,Assignment2Suite,EfficiencyTest1 EmptyTest0 FindMinMaxTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1+ , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2- , ,
9,Wed Feb 21 22:04:33 EST 2018,26,0,Assignment2Suite,EfficiencyTest1 EmptyTest0 FindMinMaxTest0 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EmptyTest1 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2 , ,
